,job,job_link,company,company_link
146,QA Automation Engineer,https://www.jobsnepal.com/job/qa-automation-engineer/115386,UBA Solutions Pvt. Ltd.,https://www.jobsnepal.com/employer/uba-solutions-pvt-ltd/2630
147,Software Architect,https://www.jobsnepal.com/job/software-architect/115385,UBA Solutions Pvt. Ltd.,https://www.jobsnepal.com/employer/uba-solutions-pvt-ltd/2630
148,Front-end Developer,https://www.jobsnepal.com/job/front-end-developer/115382,Clusus Information Solutions Pvt Ltd,https://www.jobsnepal.com/employer/clusus-information-solutions-pvt-ltd/10035
149,PHP Developer,https://www.jobsnepal.com/job/php-developer/115372,Tekkon Technologies,https://www.jobsnepal.com/employer/tekkon-technologies/10859
150,C# .NET Developer,https://www.jobsnepal.com/job/c-net-developer/115371,Tekvortex Pvt. Ltd.,https://www.jobsnepal.com/employer/tekvortex-pvt-ltd/7600
151,Full Stack Website Developer,https://www.jobsnepal.com/job/full-stack-website-developer/115367,Pedal Group,https://www.jobsnepal.com/employer/pedal-group/11643
152,Application Support Engineer,https://www.jobsnepal.com/job/application-support-engineer/115360,Tekvortex Pvt. Ltd.,https://www.jobsnepal.com/employer/tekvortex-pvt-ltd/7600
153,Front Desk Sales and Service Representative (FDSR),https://www.jobsnepal.com/job/front-desk-sales-and-service-representative-fdsr/115357,The Vesper House Pvt. Ltd.,https://www.jobsnepal.com/employer/the-vesper-house-pvt-ltd/7224
154,UI/UX Designer,https://www.jobsnepal.com/job/ui-ux-designer/115354,Verisk Nepal Pvt. Ltd.,https://www.jobsnepal.com/employer/verisk-nepal-pvt-ltd/9531
155,Web Designer,https://www.jobsnepal.com/job/web-designer/115346,View9 Pvt. Ltd.,https://www.jobsnepal.com/employer/view9-pvt-ltd/7744
156,Business Development Assistant,https://www.jobsnepal.com/job/business-development-assistant/115345,F1Soft International Pvt Ltd.,https://www.jobsnepal.com/employer/f1soft-international-pvt-ltd/7866
157,Data Analyst Executive,https://www.jobsnepal.com/job/data-analyst-executive/115343,F1Soft International Pvt Ltd.,https://www.jobsnepal.com/employer/f1soft-international-pvt-ltd/7866
158,Associate Software Engineer,https://www.jobsnepal.com/job/associate-software-engineer/115341,F1Soft International Pvt Ltd.,https://www.jobsnepal.com/employer/f1soft-international-pvt-ltd/7866
159,REQUESTS FOR APPLICATIONS,https://www.jobsnepal.com/job/requests-for-applications/115339,Winrock International-Hamro Samman,https://www.jobsnepal.com/employer/winrock-international-hamro-samman/8360
160,Merchant Officer,https://www.jobsnepal.com/job/merchant-officer/115336,eSewa Fonepay Pvt. Ltd.,https://www.jobsnepal.com/employer/esewa-fonepay-pvt-ltd/9394
161,Groovy and Grails Developer,https://www.jobsnepal.com/job/groovy-and-grails-developer/115335,Dryice Solutions Pvt. Ltd.,https://www.jobsnepal.com/employer/dryice-solutions-pvt-ltd/8383
162,Correspondence Executive,https://www.jobsnepal.com/job/correspondence-executive/115328,Dharma Adventures,https://www.jobsnepal.com/employer/dharma-adventures/1141
163,Assistant - Marketing Executive,https://www.jobsnepal.com/job/assistant-marketing-executive/115327,Dharma Adventures,https://www.jobsnepal.com/employer/dharma-adventures/1141
164,Sales and Marketing Officer,https://www.jobsnepal.com/job/sales-and-marketing-officer/115326,Suvidha Sewa Pvt. Ltd.,https://www.jobsnepal.com/employer/suvidha-sewa-pvt-ltd/7533
165,Assistant Manager Operations,https://www.jobsnepal.com/job/assistant-manager-operations/115325,Dharma Adventures,https://www.jobsnepal.com/employer/dharma-adventures/1141
166,ASP.NET Developer MVC,https://www.jobsnepal.com/job/asp-net-developer-mvc/115324,Purbey Software Pvt. Ltd.,https://www.jobsnepal.com/employer/purbey-software-pvt-ltd/9451
167,Product Manager/Assistant Manager/Officer - (Retail Store/Antivirus/Lifestyle Products),https://www.jobsnepal.com/job/product-manager-assistant-manager-officer-retail-store-antivirus-lifestyle-products/115322,Sagar Group,https://www.jobsnepal.com/employer/sagar-group/8050
168,Director/Assistant Director/Manager - Technical,https://www.jobsnepal.com/job/director-assistant-director-manager-technical/115321,Sagar Group,https://www.jobsnepal.com/employer/sagar-group/8050
169,Sales and Marketing (E-commerce),https://www.jobsnepal.com/job/sales-and-marketing-e-commerce/115318,Sagar Group,https://www.jobsnepal.com/employer/sagar-group/8050
170,ERP Implementation Officer,https://www.jobsnepal.com/job/erp-implementation-officer/115317,Sagar Group,https://www.jobsnepal.com/employer/sagar-group/8050
171,Contract staff for Merchant Enrollment,https://www.jobsnepal.com/job/contract-staff-for-merchant-enrollment/115314,eSewa Fonepay Pvt. Ltd.,https://www.jobsnepal.com/employer/esewa-fonepay-pvt-ltd/9394
172,Sr. Software Engineer/Software Engineer,https://www.jobsnepal.com/job/sr-software-engineer-software-engineer/115313,Deba Jyoti Group Holding and Investment Pvt. Ltd.,https://www.jobsnepal.com/employer/deba-jyoti-group-holding-and-investment-pvt-ltd/11362
173,Marketing and Communications Officer,https://www.jobsnepal.com/job/marketing-and-communications-officer/115312,The Vesper House Pvt. Ltd.,https://www.jobsnepal.com/employer/the-vesper-house-pvt-ltd/7224
174,Event & Marketing Coordinator/ Marketing Director/Asst. Marketing Director,https://www.jobsnepal.com/job/event-marketing-coordinator-marketing-director-asst-marketing-director/115320,Sagar Group,https://www.jobsnepal.com/employer/sagar-group/8050
175,QA Engineer,https://www.jobsnepal.com/job/qa-engineer/114292,LIS Nepal Pvt. Ltd. (Sister Concern of Yomari Group of Companies),https://www.jobsnepal.com/employer/lis-nepal-pvt-ltd-sister-concern-of-yomari-group-of-companies/8922
176,Urgently needed WEB Developers & Mobile Apps Developers,https://www.jobsnepal.com/job/urgently-needed-web-developers-mobile-apps-developers/113085,SWS Pvt. Ltd.,https://www.jobsnepal.com/employer/sws-pvt-ltd/7954
177,Software QA Intern,https://www.jobsnepal.com/job/software-qa-intern/99804,Spiralogics International,https://www.jobsnepal.com/employer/spiralogics-international/5052
